BRISONr;Year;Location;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Fusarium;Septoria;Powdery_mildew;Leaf_rust;Stripe_rust;Crude_protein;Sedimentation
BRISONr_71;2019;GGE;HN_WF;B2;295;314;147;NA;95;65.66825661;NA;3;1;1;1;13.39289741;29
BRISONr_56;2019;GGE;HN_WF;B2;295;314;148;NA;90;59.85395488;NA;2;1;1;1;13.81961669;41
BRISONr_104;2019;GGE;HN_WF;B2;295;314;147;NA;100;58.55823021;NA;2;1;1;1;13.91704289;33
BRISONr_126;2019;GGE;HN_WF;B2;295;314;148;NA;100;52.48238081;NA;1;3;1;1;13.93475816;29
BRISONr_166;2019;GGE;HN_WF;B2;295;314;149;NA;110;53.81538835;NA;1;2;1;1;13.20903955;21
BRISONr_188;2019;GGE;HN_WF;B2;295;314;147;NA;90;53.7126137;NA;1;2;1;1;14.19875425;35
BRISONr_160;2019;GGE;HN_WF;B2;295;314;151;NA;100;52.12448513;NA;1;3;1;1;13.8696868;35
BRISONr_164;2019;GGE;HN_WF;B2;295;314;150;NA;105;50.85456054;NA;2;3;1;1;14.12232244;38
BRISONr_162;2019;GGE;HN_WF;B2;295;314;150;NA;100;47.984503;NA;2;5;1;1;14.29606742;32
BRISONr_118;2019;GGE;HN_WF;B2;295;314;148;NA;100;56.92248994;NA;2;1;1;1;14.71719457;35
BRISONr_225;2019;GGE;HN_WF;B2;295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.25225734;34
BRISONr_223;2019;GGE;HN_WF;B2;295;314;147;NA;95;70.428501;NA;2;1;1;1;12.19243792;25
BRISONr_135;2019;GGE;HN_WF;B2;295;314;147;NA;100;52.43367397;NA;1;3;1;1;13.99265537;43
BRISONr_114;2019;GGE;HN_WF;B2;295;314;151;NA;100;46.10579666;NA;1;2;1;1;14.79738933;30
BRISONr_222;2019;GGE;HN_WF;B2;295;314;149;NA;85;71.55723407;NA;2;1;1;1;12.94369369;40
BRISONr_26;2019;GGE;HN_WF;B2;295;314;146;NA;110;64.65814702;NA;1;2;1;1;13.37697517;30
BRISONr_92;2019;GGE;HN_WF;B2;295;314;149;NA;100;63.99030409;NA;1;3;1;1;13.13295455;20
BRISONr_134;2019;GGE;HN_NF;B2;295;314;148;NA;105;54.85758114;NA;1;1;1;1;14.05236486;50
BRISONr_67;2019;GGE;HN_NF;B2;295;314;148;NA;95;61.03301381;NA;2;1;1;1;12.69535674;25
BRISONr_124;2019;GGE;HN_NF;B2;295;314;149;NA;100;48.51176468;NA;1;1;1;1;13.61381653;30
BRISONr_169;2019;GGE;HN_NF;B2;295;314;147;NA;110;52.8739381;NA;1;1;1;1;13.41553288;31
BRISONr_176;2019;GGE;HN_NF;B2;295;314;146;NA;105;50.37486153;NA;1;1;1;1;13.38500564;42
BRISONr_164;2019;GGE;HN_NF;B2;295;314;148;NA;100;46.74295058;NA;3;1;5;1;15.75930101;40
BRISONr_102;2019;GGE;HN_NF;B2;295;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.91760722;44
BRISONr_227;2019;GGE;HN_NF;B2;295;314;147;NA;90;59.213400300000004;NA;1;1;1;1;13.07094595;33
BRISONr_110;2019;GGE;HN_NF;B2;295;314;148;NA;95;40.93774825;NA;4;1;1;1;14.35022523;40
BRISONr_20;2019;GGE;HN_NF;B2;295;314;149;NA;85;49.26595013;NA;1;1;1;1;14.09898763;38
BRISONr_228;2019;GGE;HN_NF;B2;295;314;147;NA;95;65.5009749;NA;1;1;1;1;13.70328426;37
BRISONr_162;2019;GGE;HN_NF;B2;295;314;151;NA;100;42.75763666;NA;1;3;1;1;14.51292135;34
BRISONr_166;2019;GGE;HN_NF;B2;295;314;149;NA;105;46.67922581;NA;1;1;1;1;14.41581921;24
BRISONr_26;2019;GGE;HN_NF;B2;295;314;148;NA;105;54.33028418;NA;1;2;1;1;14.4486456;33
BRISONr_135;2019;GGE;HN_NF;B2;295;314;149;NA;95;43.32482165;NA;3;1;1;2;13.73954802;47
BRISONr_224;2019;GGE;HN_NF;B2;295;314;148;NA;90;58.83614615;NA;1;1;1;1;13.93468468;45
BRISONr_92;2019;GGE;HN_NF;B2;295;314;148;NA;95;48.12220812;NA;1;3;1;4;13.63465909;20
BRISONr_104;2019;GGE;HN_NF;B2;295;314;149;NA;100;48.95207189;NA;1;1;1;1;14.68453725;36
BRISONr_71;2019;GGE;HN_NF;B2;295;314;147;NA;90;59.79561759;NA;1;1;1;1;13.56031567;30
BRISONr_38;2019;GGE;HN_NF;B2;295;314;148;NA;95;54.52358168;NA;2;1;1;2;13.28563412;37
BRISONr_121;2019;GGE;HN_NF;B2;295;314;147;NA;100;50.61430365;NA;1;2;1;1;14.76185102;41
BRISONr_59;2019;GGE;HN_NF;B2;295;314;150;NA;85;45.44668995;NA;1;1;5;1;13.91477273;32
BRISONr_50;2019;GGE;HN_NF;B2;295;314;150;NA;80;40.90120155;NA;1;1;1;3;14.12668919;35
BRISONr_160;2019;GGE;HN_NF;B2;295;314;152;NA;100;41.0243827;NA;1;1;4;1;14.83221477;39
BRISONr_47;2019;GGE;HN_NF;B2;295;314;148;NA;90;51.42331218;NA;1;1;1;1;13.08295964;38
BRISONr_96;2019;GGE;HN_NF;B2;295;314;148;NA;90;53.01528855;NA;2;2;3;2;13.76727067;36
BRISONr_207;2019;GGE;HN_NF;B2;295;314;145;NA;95;56.09636932;NA;1;1;1;1;13.02931229;36
BRISONr_225;2019;GGE;HN_NF;B2;295;314;147;NA;95;55.164958;NA;1;1;1;1;13.22121896;44
BRISONr_158;2019;GGE;HN_NF;B2;295;314;150;NA;105;45.36804493;NA;1;2;1;1;16.13036117;41
BRISONr_118;2019;GGE;HN_NF;B2;295;314;146;NA;100;48.45710501;NA;3;1;1;4;14.21493213;33
BRISONr_56;2019;GGE;HN_NF;B2;295;314;147;NA;90;48.89390022;NA;1;1;1;2;14.07553551;44
BRISONr_27;2019;GGE;HN_NF;B2;295;314;147;NA;90;43.54542572;NA;1;1;1;3;14.8105802;20
BRISONr_?;2019;GGE;HN_NF;B2;295;314;148;NA;90;64.05563415;NA;1;1;1;1;NA;NA
BRISONr_80;2019;GGE;HN_NF;B2;295;314;148;NA;90;53.52481892;NA;2;1;1;1;13.94387755;27
BRISONr_143;2019;GGE;HN_NF;B2;295;314;148;NA;105;51.38505277;NA;1;2;1;1;14.05129651;37
BRISONr_31;2019;GGE;HN_NF;B2;295;314;149;NA;85;53.4173487;NA;3;2;1;1;13.21871477;20
BRISONr_54;2019;GGE;HN_NF;B2;295;314;147;NA;90;51.78338195;NA;1;3;1;1;13.35649718;32
BRISONr_131;2019;GGE;HN_NF;B2;295;314;149;NA;100;44.46415093;NA;2;4;1;1;14.50963719;37
BRISONr_188;2019;GGE;HN_NF;B2;295;314;148;NA;90;45.54825377;NA;1;2;1;1;14.95300113;40
BRISONr_99;2019;GGE;HN_NF;B2;295;314;144;NA;100;60.08584582;NA;1;2;1;1;13.47175141;30
BRISONr_221;2019;GGE;HN_NF;B2;295;314;149;NA;100;50.58386422;NA;1;1;1;1;13.02967525;40
BRISONr_153;2019;GGE;HN_NF;B2;295;314;150;NA;105;49.698638269999996;NA;1;1;1;1;14.66872197;42
BRISONr_222;2019;GGE;HN_NF;B2;295;314;151;NA;85;62.00801195;NA;3;1;1;1;13.2652027;42
BRISONr_138;2019;GGE;HN_NF;B2;295;314;149;NA;105;50.56147509;NA;1;1;3;1;14.246614;49
BRISONr_69;2019;GGE;HN_NF;B2;295;314;149;NA;95;54.94868705;NA;1;1;1;1;13.18006795;22
BRISONr_126;2019;GGE;HN_NF;B2;295;314;148;NA;105;44.31963514;NA;3;1;5;1;14.95500562;30
BRISONr_226;2019;GGE;HN_NF;B2;295;314;145;NA;95;62.79929903;NA;1;1;2;1;12.5663667;25
BRISONr_223;2019;GGE;HN_NF;B2;295;314;146;NA;95;64.24091945;NA;1;1;1;1;11.99548533;26
BRISONr_158;2019;GGE;HN_NF;B2;295;314;150;NA;100;41.28699933;NA;1;3;4;1;16.13036117;41
BRISONr_145;2019;GGE;HN_NF;B2;295;314;151;NA;95;49.59612972;NA;1;1;1;2;14.40740741;43
BRISONr_114;2019;GGE;HN_NF;B2;295;314;152;NA;100;39.58038334;NA;1;2;1;3;15.32803632;35
BRISONr_205;2019;GGE;HN_NF;B2;295;314;143;NA;100;50.90771561;NA;1;1;3;1;14.28787879;35
BRISONr_213;2019;GGE;HN_NF;B2;295;314;146;NA;105;54.83207392;NA;1;2;1;2;14.22542373;40
BRISONr_222;2019;GGE;LN_WF;B2;295;314;147;NA;85;65.91684585;NA;2;1;1;1;7.392454955;20
BRISONr_124;2019;GGE;LN_WF;B2;295;314;148;NA;100;65.48219286;NA;1;1;1;1;7.900849377;13
BRISONr_145;2019;GGE;LN_WF;B2;295;314;149;NA;105;62.71226848;NA;2;1;1;1;8.412682379;17
BRISONr_135;2019;GGE;LN_WF;B2;295;314;147;NA;100;54.85831495;NA;1;1;1;1;NA;NA
BRISONr_56;2019;GGE;LN_WF;B2;295;314;148;NA;90;65.88489677;NA;2;1;1;1;7.697632469;14
BRISONr_20;2019;GGE;LN_WF;B2;295;314;148;NA;95;57.93799936;NA;1;2;1;1;8.387626547;15
BRISONr_153;2019;GGE;LN_WF;B2;295;314;149;NA;110;55.65302569;NA;1;1;1;1;8.050224215;18
BRISONr_80;2019;GGE;LN_WF;B2;295;314;148;NA;90;66.9499271;NA;1;1;1;1;7.709183673;6
BRISONr_50;2019;GGE;LN_WF;B2;295;314;148;NA;90;58.83094024;NA;1;1;1;1;8.269481982;14
BRISONr_138;2019;GGE;LN_WF;B2;295;314;149;NA;105;59.44533701;NA;2;1;1;1;8.09469526;15
BRISONr_71;2019;GGE;LN_WF;B2;295;314;148;NA;95;66.82317429;NA;1;1;1;1;8.416403608;15
BRISONr_54;2019;GGE;LN_WF;B2;295;314;148;NA;95;70.04442577;NA;1;1;1;1;7.749096045;15
BRISONr_110;2019;GGE;LN_WF;B2;295;314;149;NA;100;57.58649809;NA;1;2;1;2;8.101801802;19
BRISONr_225;2019;GGE;LN_WF;B2;295;314;148;NA;90;64.92847528;NA;1;1;1;1;8.062923251;16
BRISONr_169;2019;GGE;LN_WF;B2;295;314;147;NA;110;61.64793887;NA;1;1;1;1;8.542913832;9
BRISONr_227;2019;GGE;LN_WF;B2;295;314;147;NA;90;68.85631132;NA;1;1;1;1;7.516103604;11
BRISONr_26;2019;GGE;LN_WF;B2;295;314;146;NA;105;61.80429273;NA;1;1;1;1;8.421388262;14
BRISONr_205;2019;GGE;LN_WF;B2;295;314;143;NA;95;57.2990676;NA;2;1;1;1;8.543097643;14
BRISONr_67;2019;GGE;LN_WF;B2;295;314;146;NA;95;72.92271213;NA;1;1;1;1;7.303057758;7
BRISONr_38;2019;GGE;LN_WF;B2;295;314;146;NA;95;65.61234657;NA;1;1;1;1;7.774635241;15
BRISONr_224;2019;GGE;LN_WF;B2;295;314;150;NA;100;58.47999344;NA;1;1;1;1;8.195945946;8
BRISONr_213;2019;GGE;LN_WF;B2;295;314;147;NA;105;63.97795734;NA;1;1;1;1;8.128757062;13
BRISONr_164;2019;GGE;LN_WF;B2;295;314;146;NA;105;55.42556397;NA;1;1;1;2;8.555411499;10
BRISONr_99;2019;GGE;LN_WF;B2;295;314;147;NA;90;63.14315722;NA;1;1;1;1;7.971638418;14
BRISONr_126;2019;GGE;LN_WF;B2;295;314;147;NA;95;53.71305608;NA;1;1;1;1;8.702362205;10
BRISONr_176;2019;GGE;LN_WF;B2;295;314;147;NA;105;62.92144871;NA;1;1;2;1;7.914092446;15
BRISONr_31;2019;GGE;LN_WF;B2;295;314;150;NA;85;64.01009407;NA;1;2;1;1;7.732863585;10
BRISONr_226;2019;GGE;LN_WF;B2;295;314;143;NA;95;69.06019586;NA;1;1;1;1;7.43352081;10
BRISONr_207;2019;GGE;LN_WF;B2;295;314;144;NA;95;57.52651625;NA;1;2;1;1;8.100789177;15
BRISONr_188;2019;GGE;LN_WF;B2;295;314;146;NA;85;54.17265422;NA;1;2;1;1;8.24580974;16
BRISONr_102;2019;GGE;LN_WF;B2;295;314;148;NA;100;61.83981809;NA;1;1;1;2;8.746444695;16
BRISONr_158;2019;GGE;LN_WF;B2;295;314;152;NA;105;53.43381513;NA;1;3;1;1;8.836117381;14
BRISONr_92;2019;GGE;LN_WF;B2;295;314;148;NA;95;63.65826845;NA;2;1;1;1;7.801477273;3
BRISONr_160;2019;GGE;LN_WF;B2;295;314;151;NA;95;53.9448671;NA;1;1;1;1;8.092673378;15
BRISONr_221;2019;GGE;LN_WF;B2;295;314;150;NA;95;62.82602617;NA;1;1;1;1;7.15699888;17
BRISONr_69;2019;GGE;LN_WF;B2;295;314;149;NA;90;66.49667378;NA;1;1;1;1;7.59184598;5
BRISONr_134;2019;GGE;LN_WF;B2;295;314;147;NA;95;61.29833714;NA;1;1;2;1;8.271171171;20
BRISONr_121;2019;GGE;LN_WF;B2;295;314;148;NA;105;57.51840486;NA;1;1;1;1;8.220541761;15
BRISONr_228;2019;GGE;LN_WF;B2;295;314;146;NA;90;68.03418706;NA;2;1;1;1;8.111551529;15
BRISONr_96;2019;GGE;LN_WF;B2;295;314;147;NA;90;62.7161612;NA;1;2;1;1;8.450962627;15
BRISONr_223;2019;GGE;LN_WF;B2;295;314;147;NA;95;72.18361336;NA;1;1;1;1;7.178273138;10
BRISONr_47;2019;GGE;LN_WF;B2;295;314;146;NA;90;65.08805699;NA;1;1;1;1;7.880829596;15
BRISONr_114;2019;GGE;LN_WF;B2;295;314;150;NA;95;60.67741179;NA;1;1;1;1;8.382690125;5
BRISONr_131;2019;GGE;LN_WF;B2;295;314;149;NA;100;61.41820041;NA;2;1;1;1;8.478061224;10
BRISONr_?;2019;GGE;LN_WF;B2;295;314;148;NA;90;68.12296332;NA;1;1;1;1;NA;NA
BRISONr_27;2019;GGE;LN_WF;B2;295;314;148;NA;80;55.93247614;NA;2;1;1;1;8.448862344;5
BRISONr_59;2019;GGE;LN_WF;B2;295;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.249488636;14
BRISONr_104;2019;GGE;LN_WF;B2;295;314;147;NA;95;64.65904614;NA;1;1;1;1;8.066817156;12
BRISONr_162;2019;GGE;LN_WF;B2;295;314;150;NA;100;58.64714184;NA;1;1;2;1;8.46741573;13
BRISONr_118;2019;GGE;LN_WF;B2;295;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.788857466;14
BRISONr_158;2019;GGE;LN_WF;B2;295;314;149;NA;100;57.53335679;NA;2;1;1;1;8.836117381;14
BRISONr_143;2019;GGE;LN_WF;B2;295;314;147;NA;105;65.62603104;NA;1;1;1;1;8.377959414;15
BRISONr_166;2019;GGE;LN_WF;B2;295;314;147;NA;115;60.80729582;NA;1;2;1;1;8.377344633;9
BRISONr_176;2019;GGE;LN_NF;B2;295;314;149;NA;100;64.44322923;NA;1;1;1;1;NA;NA
BRISONr_118;2019;GGE;LN_NF;B2;295;314;147;NA;95;64.44951375;NA;2;1;1;1;8.416459276;13
BRISONr_102;2019;GGE;LN_NF;B2;295;314;148;NA;100;60.61615526;NA;2;1;1;1;9.269582393;18
BRISONr_26;2019;GGE;LN_NF;B2;295;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.089164786;17
BRISONr_31;2019;GGE;LN_NF;B2;295;314;151;NA;80;60.29421757;NA;1;1;1;1;8.417418264;10
BRISONr_67;2019;GGE;LN_NF;B2;295;314;148;NA;80;67.59723399;NA;1;1;1;1;8.224348811;8
BRISONr_99;2019;GGE;LN_NF;B2;295;314;146;NA;90;63.07791164;NA;1;1;1;1;8.529887006;13
BRISONr_143;2019;GGE;LN_NF;B2;295;314;148;NA;100;61.59282763;NA;1;1;1;1;8.803494927;15
BRISONr_153;2019;GGE;LN_NF;B2;295;314;149;NA;100;NA;NA;1;1;1;1;8.523766816;18
BRISONr_160;2019;GGE;LN_NF;B2;295;314;152;NA;100;52.8320307;NA;2;1;1;1;8.589765101;15
BRISONr_145;2019;GGE;LN_NF;B2;295;314;151;NA;95;53.11867166;NA;1;1;1;1;8.444500561;16
BRISONr_121;2019;GGE;LN_NF;B2;295;314;147;NA;100;51.45826985;NA;1;1;1;1;8.776975169;16
BRISONr_124;2019;GGE;LN_NF;B2;295;314;147;NA;90;50.86704401;NA;1;1;1;1;8.532616082;15
BRISONr_92;2019;GGE;LN_NF;B2;295;314;146;NA;95;54.93647328;NA;1;1;1;2;8.295056818;4
BRISONr_227;2019;GGE;LN_NF;B2;295;314;146;NA;90;64.01995929;NA;1;1;1;1;8.010135135;12
BRISONr_138;2019;GGE;LN_NF;B2;295;314;147;NA;100;53.32543387;NA;1;1;1;1;8.606489842;17
BRISONr_158;2019;GGE;LN_NF;B2;295;314;148;NA;100;48.83079017;NA;1;2;1;1;9.098363431;15
BRISONr_188;2019;GGE;LN_NF;B2;295;314;147;NA;85;51.19661507;NA;1;1;1;1;8.553793884;16
BRISONr_225;2019;GGE;LN_NF;B2;295;314;147;NA;90;61.69192218;NA;1;1;1;1;8.080248307;16
BRISONr_226;2019;GGE;LN_NF;B2;295;314;146;NA;90;66.43787267;NA;1;1;1;1;8.053880765;12
BRISONr_213;2019;GGE;LN_NF;B2;295;314;149;NA;100;60.08764272;NA;1;1;1;1;8.816836158;15
BRISONr_166;2019;GGE;LN_NF;B2;295;314;151;NA;110;53.78394922;NA;1;1;1;1;8.559096045;9
BRISONr_80;2019;GGE;LN_NF;B2;295;314;151;NA;85;62.51149328;NA;1;1;1;1;8.041269841;5
BRISONr_205;2019;GGE;LN_NF;B2;295;314;144;NA;90;50.70441502;NA;3;1;1;1;8.955331089;18
BRISONr_222;2019;GGE;LN_NF;B2;295;314;151;NA;80;61.64929985;NA;1;1;1;1;8.130405405;16
BRISONr_158;2019;GGE;LN_NF;B2;295;314;151;NA;100;49.69112111;NA;1;2;1;2;9.098363431;15
BRISONr_169;2019;GGE;LN_NF;B2;295;314;149;NA;105;54.9356008;NA;1;1;1;1;8.242063492;9
BRISONr_69;2019;GGE;LN_NF;B2;295;314;151;NA;90;61.57989768;NA;1;1;1;1;8.081993205;7
BRISONr_27;2019;GGE;LN_NF;B2;295;314;149;NA;85;49.61953678;NA;1;1;2;1;9.069510808;6
BRISONr_56;2019;GGE;LN_NF;B2;295;314;148;NA;95;64.73528067;NA;1;1;1;1;8.603156708;13
BRISONr_47;2019;GGE;LN_NF;B2;295;314;148;NA;85;60.17500997;NA;1;1;1;1;7.971748879;15
BRISONr_224;2019;GGE;LN_NF;B2;295;314;149;NA;90;57.36573291;NA;1;1;1;1;8.190259009;19
BRISONr_114;2019;GGE;LN_NF;B2;295;314;149;NA;85;56.41020854;NA;1;1;1;1;8.834108967;18
BRISONr_134;2019;GGE;LN_NF;B2;295;314;147;NA;95;53.30056991;NA;1;1;1;1;8.695157658;21
BRISONr_162;2019;GGE;LN_NF;B2;295;314;150;NA;100;52.05162998;NA;2;1;1;1;8.36747191;14
BRISONr_20;2019;GGE;LN_NF;B2;295;314;150;NA;90;52.77922921;NA;1;1;1;1;8.527502812;16
BRISONr_54;2019;GGE;LN_NF;B2;295;314;149;NA;95;64.9678956;NA;2;1;1;1;8.082768362;13
BRISONr_228;2019;GGE;LN_NF;B2;295;314;147;NA;95;61.07341778;NA;1;1;1;1;8.574745187;16
BRISONr_223;2019;GGE;LN_NF;B2;295;314;147;NA;95;64.98930761;NA;1;1;1;1;7.488205418;11
BRISONr_59;2019;GGE;LN_NF;B2;295;314;149;NA;90;56.02608729;NA;2;1;1;2;8.226136364;12
BRISONr_207;2019;GGE;LN_NF;B2;295;314;146;NA;95;48.280939;NA;1;2;1;1;8.327170237;18
BRISONr_110;2019;GGE;LN_NF;B2;295;314;149;NA;105;49.55167407;NA;1;1;1;3;8.603209459;15
BRISONr_135;2019;GGE;LN_NF;B2;295;314;147;NA;100;47.14901588;NA;4;1;1;1;9.004293785;20
BRISONr_126;2019;GGE;LN_NF;B2;295;314;147;NA;105;46.12754624;NA;1;1;4;1;8.649212598;12
BRISONr_164;2019;GGE;LN_NF;B2;295;314;148;NA;105;48.03707508;NA;1;1;1;1;8.84723788;11
BRISONr_104;2019;GGE;LN_NF;B2;295;314;148;NA;100;57.48810393;NA;1;1;2;1;8.240293454;13
BRISONr_50;2019;GGE;LN_NF;B2;295;314;149;NA;90;52.04912728;NA;1;1;1;1;8.362105856;14
BRISONr_38;2019;GGE;LN_NF;B2;295;314;148;NA;95;56.77106061;NA;2;1;1;1;8.028843996;15
BRISONr_?;2019;GGE;LN_NF;B2;295;314;149;NA;95;63.68215471;NA;3;1;1;1;NA;NA
BRISONr_131;2019;GGE;LN_NF;B2;295;314;151;NA;105;52.86553121;NA;1;1;1;1;8.721995465;11
BRISONr_96;2019;GGE;LN_NF;B2;295;314;149;NA;100;54.30693962;NA;1;1;2;1;8.885050963;15
BRISONr_71;2019;GGE;LN_NF;B2;295;314;149;NA;95;63.08001649;NA;1;1;1;1;9.303945885;18
BRISONr_221;2019;GGE;LN_NF;B2;295;314;150;NA;100;NA;NA;1;1;1;1;8.425307951;19
BRISONr_227;2019;GGE;HN_WF;B1;295;314;146;NA;90;68.77680221;NA;1;2;1;1;12.83445946;33
BRISONr_158;2019;GGE;HN_WF;B1;295;314;149;NA;100;51.60226159;NA;1;1;1;4;15.31433409;35
BRISONr_138;2019;GGE;HN_WF;B1;295;314;147;NA;110;59.79329125;NA;1;1;1;2;13.56376975;49
BRISONr_213;2019;GGE;HN_WF;B1;295;314;145;NA;110;76.51801346;NA;1;1;1;1;12.60677966;34
BRISONr_228;2019;GGE;HN_WF;B1;295;314;146;NA;100;83.78351608;NA;1;1;1;1;12.47451869;33
BRISONr_71;2019;GGE;HN_WF;B1;295;314;148;NA;100;75.82000181;NA;1;1;1;1;11.95434047;28
BRISONr_47;2019;GGE;HN_WF;B1;295;314;148;NA;95;71.33147311;NA;1;1;1;1;12.17600897;34
BRISONr_131;2019;GGE;HN_WF;B1;295;314;149;NA;115;54.35059044;NA;1;2;3;1;13.58163265;35
BRISONr_166;2019;GGE;HN_WF;B1;295;314;149;NA;120;60.2654768;NA;1;1;2;1;13.42090395;21
BRISONr_162;2019;GGE;HN_WF;B1;295;314;151;NA;110;55.19766686;NA;1;4;1;3;13.51966292;30
BRISONr_67;2019;GGE;HN_WF;B1;295;314;147;NA;100;76.46534803;NA;1;1;1;1;12.41676104;24
BRISONr_80;2019;GGE;HN_WF;B1;295;314;149;NA;100;70.82421945;NA;1;1;2;1;12.51984127;23
BRISONr_54;2019;GGE;HN_WF;B1;295;314;147;NA;95;73.42474405;NA;1;1;1;2;12.70112994;31
BRISONr_160;2019;GGE;HN_WF;B1;295;314;152;NA;100;57.17792529;NA;1;1;1;2;13.19742729;33
BRISONr_124;2019;GGE;HN_WF;B1;295;314;149;NA;100;62.26192099;NA;1;1;1;2;13.47338618;29
BRISONr_224;2019;GGE;HN_WF;B1;295;314;148;NA;95;71.24236406;NA;1;1;1;1;12.21114865;38
BRISONr_135;2019;GGE;HN_WF;B1;295;314;147;NA;105;61.62939105;NA;1;4;1;1;13.38248588;41
